Name,rank
UNIVERSITY OF LISBON ,333
YESHIVA UNIVERSITY,334
EWHA WOMANS UNIVERSITY,335
GRIFFITH UNIVERSITY,336
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY |GIST,337
UNIVERSITÃ€ DEGLI STUDI DI PADOVA |UNIPD,338
UNIVERSITY OF JYVÃ„SKYLÃ„,339
JAMES COOK UNIVERSITY |JCU,340
MASSEY UNIVERSITY,341
UNIVERSITY AT BUFFALO SUNY,342
LINCOLN UNIVERSITY ,343
UNIVERSITY OF HAWAII AT MÄ€ÂÅNOA ,344
BRUNEL UNIVERSITY,345
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY ,346
UNIVERSITÃ„T KÃ–LN,347
UNIVERSITÃ„T ULM,348
UNIVERSITY OF TARTU,349
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY,350
MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS â€“ MGIMO UNIVERSITY ,351
UNIVERSIDAD DE BELGRANO,352
UNIVERSITÃ„T KONSTANZ,353
BELARUS STATE UNIVERSITY,354
DEAKIN UNIVERSITY,355
LAPPEENRANTA UNIVERSITY OF TECHNOLOGY,356
UNIVERSITÃ‰ PARIS DAUPHINE,357
ASTON UNIVERSITY,358
OXFORD BROOKES UNIVERSITY,359
UNIVERSITY OF THE WITWATERSRAND,360
NORTHEASTERN UNIVERSITY,361
VIRGINIA POLYTECHNIC INSTITUTE |VIRGINIA TECH,362
GEORGE WASHINGTON UNIVERSITY,363
UNIVERSITÃ„T JENA,364
AMERICAN UNIVERSITY IN CAIRO,365
UNIVERSIDADE NOVA DE LISBOA,366
UNIVERSITY OF KENT,367
UNIVERSITY OF WARSAW ,368
KOBE UNIVERSITY,369
UNIVERSITÃ€ DEGLI STUDI DI MILANO,370
UNIVERSITY OF TASMANIA,371
LAVAL UNIVERSITY,372
UNIVERSITY OF KANSAS,373
AALBORG UNIVERSITY,374
UNIVERSITY OF COLORADO AT DENVER ,375
UNIVERSITY OF THE PHILIPPINES,376
TOMSK STATE UNIVERSITY,377
UNIVERSITÃ‰ PARIS DESCARTES,378
UNIVERSITY OF TROMSO,379
DUBLIN CITY UNIVERSITY |DCU,380
UNIVERSITY OF TEXAS DALLAS ,381
UNIVERSITY OF EASTERN FINLAND,382
V.N. KARAZIN KHARKIV NATIONAL UNIVERSITY,383
AMERICAN UNIVERSITY,384
UNIVERSITY OF STIRLING,385
CHUNG-ANG UNIVERSITY ,386
COLORADO STATE UNIVERSITY,387
LA TROBE UNIVERSITY,388
BEIJING INSTITUTE OF TECHNOLOGY,389
STONY BROOK UNIVERSITY,390
SWANSEA UNIVERSITY,391
UNIVERSITY OF SOUTHERN DENMARK,392
QATAR UNIVERSITY,393
UNIVERSITY OF IOWA,394
NATIONAL SUN YAT-SEN UNIVERSITY,395
NATIONAL TECHNICAL UNIVERSITY OF ATHENS,396
STELLENBOSCH UNIVERSITY,397
WASHINGTON STATE UNIVERSITY,398
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE |IITR,399
LEIBNIZ UNIVERSITÃ„T HANNOVER,400
TOMSK POLYTECHNIC UNIVERSITY,401
BANDUNG INSTITUTE OF TECHNOLOGY |ITB,402
BRANDEIS UNIVERSITY,403
ILLINOIS INSTITUTE OF TECHNOLOGY,404
JOHANNES GUTENBERG UNIVERSITÃ„T MAINZ,405
KHALIFA UNIVERSITY,406
NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI|MOSCOW ENGINEERING PHYSICS INSTITUTE|ATIONAL RESEARCH NUCLEAR UNIVERSITY|MEPHI|TIONAL,407
TAIPEI MEDICAL UNIVERSITY,408
UNIVERSIDAD EXTERNADO DE COLOMBIA,409
WAKE FOREST UNIVERSITY,410
BANGOR UNIVERSITY,411
